ime,vrsta,poglavja,datum
When Beauty Meets Beasts (Colored),Manhua,326.0,2024
It All Starts with Playing Game Seriously,Manhua,161.0,2024
"Don""t Hire My Brother, Your Highness!",Manhwa,85.0,2024
The Ember Knight,Manhwa,152.0,2024
Konyaku Haki no Akui wa Shoukan Kara Okaeshi Shimasu,Manga,25.5,2024
Soul Land IV: Ultimate Fighting,Manhua,496.0,2024
Taming My Villainous Little Brother,Manhwa,80.0,2024
The Tyrant Wants to Live a Virtuous Life,Manhwa,81.0,2024
Pink to Habanero,Manga,58.0,2024
Lost in the Cloud,Manhwa,112.0,2024
Memoir of the God of War,Manhwa,182.0,2024
Truly Refuse to Be a Witch (Colored),Manhua,97.0,2024
That Second-Rate Warrior Is Now an Overpowered,Manga,28.0,2024
"Yeonwoo""s Innocence",Manhwa,162.0,2024
Fool Night,Manga,80.0,2024
Kikori no Isekai Tan,Manga,5.0,2024
Akuyaku Onzoushi no Kanchigai Seija Seikatsu - Nidome no Jinsei wa Yaritai Houdai Shitai Dake na no ni,Manga,12.0,2024
Yuusha to Yobareta Nochi ni - Soshite Musou Otoko wa Kazoku wo Tsukuru,Manga,46.0,2024
SSS-Rank Dungeon de Knife Ippon Tewatasare Tsuihou sareta Shiromadoushi: Yggdrasil no Noroi ni yori Jakuten de Aru Maryoku Fusoku wo Kokufukushi Sekai Saikyou e to Itaru,Manga,14.3,2024
I Become A Villain In My Novel (Colored),Manhua,506.0,2024
Adonis,Manhwa,264.0,2024
The Irregular of the Royal Academy of Magic,Manga,120.0,2024
Back to Work!,Manhwa,128.0,2024
"The Dark Lord""s Confession",Manhwa,97.0,2024
MILGRAM: Jikken Kangoku to Kanshu no Shoujo,Manga,13.0,2024
Girl Jock Empress,Manhwa,109.0,2024
"Reincarnated Devil""s Plan For Raising the Strongest Hero",Manga,6.0,2024
Climax Necromance,Manga,6.0,2024
Shenwu Tianzun (Colored),Manhua,616.0,2024
Isekai Furin ll ~Michibika Reshi Hitodzuma Tachi to Bukiyo Tensei Yuusha~,Manga,43.0,2024
Yoru no Manimani,Manga,22.0,2024
My level up is strange!: Reincarnation of a great Man in a Different World,Manga,22.0,2024
Dear Hong Rang,Manhwa,26.0,2024
Honzuki no Gekokujou Koushiki Comic Anthology,Manga,48.0,2024
Living With a Kunoichi,Manga,27.0,2024
Upgrading the Frivolous Emperor,Manhua,80.0,2024
Like Wind on a Dry Branch,Manhwa,185.0,2024
The Strongest Florist,Manhwa,190.0,2024
"Megane, Tokidoki, Yankee-kun",Manga,29.2,2024
Grandpa is Summoned,Manga,53.0,2024
I Will Take Responsibility for the Welfare of the Male Lead,Manhwa,109.0,2024
Double Click,Manhwa,141.0,2024
Trash Belongs in the Trash Can!,Manhwa,106.0,2024
Operation: True Love,Manhwa,126.5,2024
Auto Hunting With My Clones,Manhwa,106.0,2024
Disciple of the Holy Sword,Manhwa,110.0,2024
Volcanic Age,Manhwa,288.0,2024
Girl Crush,Manga,65.0,2024
I Want to Go Back Home,Manga,12.0,2024
Kanaria wa Kiraboshi no Yume wo Miru,Manga,1.0,2024
The Delivery Lady Came,One_shot,1.0,2024
To Not Die,Manhwa,145.0,2024
Even a Replica Falls in Love,Manga,14.0,2024
Choujin X,Manga,54.1,2024
All Soccer Talents Are Mine,Manhwa,66.0,2024
I Became the Mother of the Bloody Male Lead,Manhwa,48.0,2024
The Woman Who Messes With My Emotions (2022),Manga,19.0,2024
Revenge of the Pigs,Manga,35.0,2024
Harem Thief Order Dominating in Different World With Karmic Skill,Manga,30.0,2024
"I""ll Retire After Saving the World",Manhwa,27.0,2024
Merry-san (Colored),Manga,183.0,2024
"I May Be a Mob but Because My Favorite Is Here, Everyday Is Fun",Manga,13.0,2024
The Evil Princess Dreams of a Gingerbread House,Manhwa,100.0,2024
"The Demon King""s Daughter Is Way Too Easy",Manga,62.0,2024
Kimi no Love wo Misetekure!,Manga,10.0,2024
Undead Unluck,Manga,217.0,2024
Isekai Tensei Slum Machi kara no Nariagari – Saishuya Ryou wo shite Gohan Tabete Slow Life surun da,Manga,2.2,2024
Traveling Through Time and Space to Become an Unlucky NPC: I Have a Wife to Protect Me,Manhua,34.0,2024
Can You Keep a Secret?,Manga,96.0,2024
Chained Soldier,Manga,137.0,2024
Seinaru Otome to Himegoto wo,Manga,3.0,2024
Contract Sisters,Manga,21.0,2024
Hajimete no Ojou-sama,Manga,19.0,2024
It Is Painful!,Manga,18.0,2024
The Old Man Who Was Reincarnated As A Cat (Colored),Manga,521.5,2024
The Exiled Reincarnated Heavy Knight is Unrivaled in Game Knowledge,Manga,97.0,2024
Koibami Shoujo,Manga,7.5,2024
Boku to Gal ga Fuufu ni Naru made,Manga,16.0,2024
The Xiao Chronicles,Manhua,3.0,2024
Level 1 kara Hajimaru Shoukan Musou,Manga,24.0,2024
Duchess in the Glass House,Manhwa,107.0,2024
Rebirth in the end times: I reached the top by opening boxes,Manhua,8.0,2024
This Sweet Online Date Is a Disaster!,Manhua,77.0,2024
Daemons of the Shadow Realm,Manga,32.0,2024
Our Similarities,Manhua,5.0,2024
My love for my roommate is one-sided,Manga,19.0,2024
Kiyo in Kyoto: From the Maiko House,Manga,281.0,2024
Chirijiri Yuku no,Manga,12.5,2024
Onna Tomodachi wa Tanomeba Igaito Yarasete Kureru,Manga,11.0,2024
Ui x Kon,Manga,47.0,2024
"Please Don’t Milk Me, Merchant-san!!",Manga,52.1,2024
Yoarashi ni Warau,Manga,24.0,2024
The Lady and the Beast,Manhwa,153.0,2024
The Results of My Author/Classmate Discovering My Yuri Obsession,Manga,227.0,2024
The Unaware Atelier Master,Manga,48.0,2024
Management of Novice Alchemist,Manga,15.0,2024
A Boy Sensitive to Cold &amp; a Hard-Boiled Girl,Manga,17.0,2024
Danshi Koukousei Dakedo Gal ni TS shimashita,Manga,8.2,2024
Kanojo ga Onii-chan ni Nattara Shitai 10 no Koto,Manga,15.0,2024
The Game That I Came From (Colored),Manhua,295.0,2024
I Am Immortal (Colored),Manhua,661.0,2024
Heavenly Moon,Manhwa,77.0,2024
The Mysterious World’s Greatest Martial Artist Little Prince,Manhwa,34.0,2024
Tudi Shengji - Wo Tangzhe Jiu Bian Qiang,Manhua,12.0,2024
Jakdu,Manhwa,9.0,2024
Laws of the good child,Manhwa,11.0,2024
High School Queen,Manhwa,5.0,2024
Return of the Genius Player,Manhwa,28.0,2024
The Invincible Banished Shadow Archer,Manhwa,9.0,2024
"The 100 Girlfriends Who Really, Really, Really, Really, Really Love You",Manga,186.0,2024
"How the Little Brother Who Turned Into a Girl Became His Big Brother""s Girlfriend.",Manga,133.0,2024
She Was Sent by God,Manhwa,23.0,2024
Alphabet[a],Manga,34.0,2024
Fuzoroi no Renri - Side Stories,Manga,46.0,2024
Mairimashita! Iruma-kun if - Episode of Mafia,Manga,12.0,2024
Bei Po Gong Lve 100%,Manhua,21.0,2024
Transcension Academy,Manhwa,120.0,2024
"E, Shanai System Subete Wanope shiteiru Watashi wo Kaiko desu ka?",Manga,13.0,2024
Good Work Watase-san,Manga,5.5,2024
"The Swordmaster""s Son",Manhwa,124.0,2024
"Margrave""s Bastard Son Was the Emperor",Manhwa,35.0,2024
Izuki-kun wa Tadasaretai,Manga,1.0,2024
"After Constantly Dying, I Became the Emperor Venerable",Manhua,30.0,2024
Makina-san no Mama Naranai Hibi,Manga,4.0,2024
Your Throne,Manhwa,212.0,2024
Hijiri-kun wa Kiyoku Ikitai,Manga,53.0,2024
Teisou Gyakuten Sekai no Doutei Henkyou Ryoushu Kishi,Manga,10.2,2024
Murikon,Manga,6.5,2024
Fushigi no Mayuri-san,Manga,87.0,2024
Worker Bee,Manhua,2.0,2024
The Grateful Poppo-chan,One_shot,0.0,2024
A Lingering Summer,Manhua,0.0,2024
"Eroi Koto Suru Tame ni Kyonyuu Bishoujo Dorei o Katta Hazu ga, Oshishou-sama to Shitawa Rete Omotta Toori ni Ikanaku Naru Hanashi",Manga,18.0,2024
"Kiyoku, Yamashiku, Modokashiku.",Manga,35.5,2024
Tenka Musou no Otome-tachi ga Ore no Kodane wo Ubaiatteimasu!!!!!,Manga,3.0,2024
"Classmate no Moto Idol ga, Tonikaku Kyodou Fushin Nan desu",Manga,14.0,2024
Drunk Bullet,Manga,9.0,2024
The Summer Hikaru Died,Manga,27.0,2024
I Became the Despised Granddaughter of the Powerful Martial Arts Family,Manhwa,68.0,2024
The Laid Off Demon King,Manhua,403.0,2024
"Bouken ni wa, Buki ga Hitsuyou da! - Kodawari Rudy no Kajiya Gurashi",Manga,6.2,2024
Tokyo Underworld,Manga,85.0,2024
Ron Kamonohashi: Deranged Detective,Manga,139.0,2024
"Hope You""re Happy, Lemon",Manga,34.0,2024
Oni Ure Idol ga Kyou mo Watashi wo Oshitekuru (Pre-Serialization),One_shot,4.0,2024
Da Lao Xia Shan: Kaiju Chengwei Nan Mi,Manhua,26.0,2024
I Really Don’t Want to Learn Forbidden Spells,Manhua,61.0,2024
I Was the Real Owner of Elheim,Manhwa,27.0,2024
Necromancer Academy and the Genius Summoner,Manhwa,128.0,2024
"We""re Not Dating!!",Manhwa,22.0,2024
The Darkness Was Comfortable for Me,Manga,24.0,2024
"My Fake Girlfriend""s Defending Against Their Attack (Colored)",Manhua,84.0,2024
They Want to Fill in the Holes,Manga,6.0,2024
Dance Dance Danseur,Manga,133.0,2024
Daywalker,Manhwa,5.0,2024
"Run Away, From Me",Manhwa,1.0,2024
Haiiro no Onmyouji,Manga,32.0,2024
Kaii-san to Ore,Manga,51.0,2024
The lecture you would never want your parents to give you.,One_shot,39.5,2024
The Angel Next Door Spoils Me Rotten,Manga,17.4,2024
Tenkaichi - Nihon Saikyou Bugeisha Ketteisen,Manga,39.0,2024
A CERTAIN STORY OF AI MEETS GENIUS,Manga,10.0,2024
The Peerless Handsome Man Becomes a Skeleton,Manhwa,6.0,2024
Sei Heroine wa Aisuru Heika ni Kirawaretai,Manga,15.0,2024
My Very Own Tower Strategy Guide,Manhwa,27.0,2024
The Greatest Estate Developer,Manhwa,154.0,2024
How to Protect My Sub Male Lead Dad,Manhwa,31.0,2024
I Tried asking a favor to my Cool Girlfriend,One_shot,4.0,2024
Quick Transmigration: Kneeling and Begging the Main Villainess to Be a Person,Manhua,5.0,2024
Doku wo Kurawaba Sara Made,Manga,8.0,2024
Tyranny,Manga,1.0,2024
Blood Time,Manhwa,1.0,2024
Helmut: The Forsaken Child,Manhwa,81.0,2024
Shinkon no Iroha-san,Manga,17.0,2024
Time Traveler,Manhwa,46.0,2024
Danger! The vicious Elder Princess begins to fall in love,Manhua,5.0,2024
Ojisan ga Joshi Shougakusei to Tabisuru,Manga,33.0,2024
Feel Betrayal,Manhwa,0.0,2024
"I, The Invincible Villain Master With My Apprentices (Colored)",Manhua,104.0,2024
"Kuni wo Owareta Ryuushi-san, Hirowareta Ringoku de Ukkari Musou Shiteshimau. Jakushou Kokka ga Tairiku Saikyou no Ryuu no Rakuen ni Naru made",Manga,2.1,2024
The First Ancestor in History,Manhua,233.0,2024
Catching Up to Luke Vischel,Manhwa,74.0,2024
Fly Me to the Moon,Manhwa,60.0,2024
Medalist,Manga,45.0,2024
"The Chaebeol""s Youngest Son",Manhwa,111.0,2024
Soul-Slaying Girl: All the contracts I contracted are ancient divine weapons.,Manhua,6.0,2024
Mobile Suit Gundam SEED ECLIPSE,Manga,1.0,2024
Come Back a Deliciously Evil Woman,Manhua,16.0,2024
Drawing: Saikyou Mangaka wa Oekaki Skill de Isekai Musou Suru!,Manga,112.0,2024
Mina Equal,Manhwa,3.0,2024
Get Schooled,Manhwa,156.0,2024
Gendai Majo no Shuushoku Jijou,Manga,26.0,2024
"Multiverse no Watashi, Koishite Ii desu ka?",Manga,1.0,2024
Wild Strawberry (YONEMOTO Ire),Manga,28.0,2024
The Slumbering Ranker,Manhwa,127.0,2024
Tonari no Seki ga Suki na Hito Datta: Gakusei Yuri Anthology,Manga,7.0,2024
Chiyo ni Yachiyo ni (YUKI),Manga,60.0,2024
Miss Wolf and Her Fox Sister,Manhua,8.0,2024
Half (Colored),Manhua,47.0,2024
Do it this way if you wear the clothes.,Manga,72.0,2024
Chaotic Sword God,Manhua,143.0,2024
"World""s Greatest Senior Disciple",Manhwa,95.0,2024
The Grown Dog Bullies Its Owner (Colored),Manhua,24.0,2024
All the Female Apprentices Want to Kill Me,Manhua,127.0,2024
Eternal Club (Colored),Manhua,290.0,2024
My Wife Is From a Thousand Years Ago (Colored),Manhua,301.0,2024
Y13,Manhwa,39.0,2024
Flower War (Colored),Doujinshi,24.0,2024
Hoping for My Death,Manhwa,39.0,2024
Eiyuu to Kenja no Tensei Kon,Manga,18.0,2024
A Story About a Grandpa and Grandma Who Returned Back to Their Youth,Manga,96.0,2024
Survival in Another World with My Mistress!,Manga,41.0,2024
Maou Gakuen no Hangyakusha,Manga,39.0,2024
No Longer Allowed In Another World,Manga,50.0,2024
"Isekai Teni shite Kyoushi ni natta ga, Majo to Osorerareteiru Ken - Aoi-sensei no Gakuen Funtou Nisshi",Manga,12.0,2024
"When Trying to Get Back at the Hometown Bullies, Another Battle Began",Manga,39.1,2024
Just Hold My Hand,Manhwa,47.0,2024
Harem Ou no Isekai Press Manyuuki - Saikyou Musou no Oji-san wa Arayuru Shuzoku wo Yome ni suru,Manga,4.0,2024
"My Obsessive Father""s Heroic Homecoming",Manhwa,15.0,2024
Shangri-La Frontier,Manga,188.0,2024
A Deal With My Fake Husband,Manhwa,30.0,2024
Shinjitsu no Ai wo Tetori Ashitori Oshienasai,Manga,16.0,2024
Obey the Flowers,Manhwa,25.0,2024
A Flowery Path for the Devastated Male Lead,Manhwa,37.0,2024
"The Crazy Killer Whale""s Favourite Penguin",Manhwa,21.0,2024
Food Chain,Manhwa,49.0,2024
"I""m a Fake Saintess but the Gods are Obsessed",Manhwa,89.0,2024
"Even if the Villain""s Daughter Regresses",Manhwa,20.0,2024
+99 Reinforced Wooden Stick,Manhwa,103.0,2024
Global Examination,Manhua,114.0,2024
"The White Wolf""s Bride",Manga,35.0,2024
My Guardian Demon,Manhwa,100.0,2024
Captain Levi Is Cold as Ice,Manhua,19.0,2024
SKK - Shoujo-tachi no Sekai,Manga,15.0,2024
Shiretto Sugee Koto Itteru Gal. Shiritsu Para no Marukoukou no Nichijou,Manga,16.0,2024
Beauty and the Beasts (Colored),Manhua,581.0,2024
"Noble Reincarnation ~Born Blessed, So I’ll Obtain Ultimate Power~",Manga,31.5,2024
Corpse Knight Gunther,Manhwa,84.0,2024
"The Ash Salmon Quenches the Beast Monarch""s Desire",Manhwa,30.0,2024
"I""m Dating a Psychopath",Manhwa,36.0,2024
Avatar: The Last Airbender,Manga,23.0,2024
My First Kiss With the Evil Butler,Manhwa,38.0,2024
Gimme That Pacifier!,Manhwa,84.0,2024
Tonari no Otoko wa Yoku Taberu,Manga,39.5,2024
Sei Shouganon to Moushimasu,Manga,46.0,2024
Find the Crown,Manhwa,7.0,2024
Cinders of the Moon,Manga,70.0,2024
Issho ni Kurashite ii desu ka?,Manga,25.0,2024
The Betrayal of Shadow,Manhua,23.0,2024
I Became The King by Scavenging,Manhua,25.0,2024
The Faraway Paladin,Manga,65.2,2024
Fun Territory Defense by the Optimistic Lord,Manga,30.3,2024
The Ghost and the Exhausted Office Worker,Manga,246.0,2024
The Beginning After the End,Manhwa,188.5,2024
Youth Torture Romantic ☆ Tokita,One_shot,0.0,2024
Legal Serialization Zone,Manhwa,1.0,2024
Marudashi Gakuen no Miseru-chan,One_shot,0.0,2024
Divorce Strategy,Manhwa,29.0,2024
Murim Login,Manhwa,190.0,2024
Magi Craft Meister,Manga,61.0,2024
"Hachinan tte, Sore wa Nai Deshou!",Manga,94.0,2024
The Cursed Strongest Player Rules the World,Manhua,7.0,2024
Love at First Bite (LeuLeub),Manhwa,65.0,2024
Idol Is a God (Colored),Manhua,27.0,2024
Far East Chimera,Manga,34.0,2024
Copipe de Dungeon Kouryaku!,Manga,5.0,2024
The Reformation of the World as Overseen by a Realist Demon King,Manga,57.0,2024
I Grabbed the Leash of the Blind Beast,Manhwa,17.0,2024
A Barbarian Was Admitted to the Academy,Manhwa,15.0,2024
Tales of Demons and Gods (Colored),Manhua,480.5,2024
Destiny Unchain Online,Manga,62.0,2024
Tentacle Hole,Manga,15.5,2024
Makenshi no Maken Niyoru Maken no Tame no Harem Life,Manga,29.0,2024
Absolute Sword Sense,Manhwa,95.0,2024
Juujika no Rokunin,Manga,176.0,2024
BL Motel,Manhwa,68.0,2024
Shouwaru Tensai Osananajimi to no Shoubu ni Makete Hatsutaiken o Zenbu Ubawareru Hanashi,Manga,7.5,2024
Alya Sometimes Hides Her Feelings in Russian,Manga,43.0,2024
Arifureta: From Commonplace to World’s Strongest,Manga,79.0,2024
A Former Delinquent Girl Falls in Love,Manga,10.0,2024
Akuyaku Reijou no Ane desu ga Mob de Ii no de Shinitakunai,Manga,1.1,2024
Hellper 2 &lt;KillBeros&gt;,Manhwa,97.0,2024
Lady Baby Is a Revenge Maker,Manhwa,26.0,2024
Kono Sankaku Love Come wa Shiawase ni Naru Gime ga Aru.,Manga,3.0,2024
Doukyonin ga Fuantei Deshite,Manga,19.0,2024
Brainrot Girlfriend,Manga,10.0,2024
How to Live as a Villain,Manhwa,156.0,2024
Overgeared,Manhwa,243.0,2024
Returned from Hell,Manhwa,96.0,2024
The Supporting Girl Who Transmigrated Into the Book Only Wants to Be a Salted Fish,Manhua,10.0,2024
Rejoice in Your Enemies,Manhua,29.0,2024
Evolution from Carp to Divine Dragon,Manhua,17.0,2024
"Please Fall Asleep, Emperor (Colored)",Manhua,19.0,2024
Evolution: Road to Space Monster,Manhwa,42.0,2024
Mutual Love,Manga,93.2,2024
Mankitsu Shitai Jouren-san,Manga,31.2,2024
Freezing The World (Colored),Manhua,266.0,2024
Shippai Kazoku,Manga,2.0,2024
Principles of Heavens: Zen’s Cultivation of Immortality,Manhua,1217.0,2024
I contracted myself,Manhua,27.0,2024
